Decile,No. of Customers,Cumulative Customers,Cumulative % customers,Responders,Response Rate,percentage_responders,Gain,lift,Max Prob,Min Prob
1,30,30,10,14,46.666666666666664,29.78723404255319,29.78723404255319,2.978723404255319,0.9223536000325252,0.41222151346311803
2,29,59,20,7,24.137931034482758,14.893617021276595,44.680851063829785,2.234042553191489,0.41150409426363876,0.2656394533982224
3,29,88,30,11,37.93103448275862,23.404255319148938,68.08510638297872,2.269503546099291,0.25200677939700716,0.17751726140656487
4,30,118,40,5,16.666666666666664,10.638297872340425,78.72340425531915,1.9680851063829787,0.17255737017869063,0.11299209183430649
5,29,147,50,4,13.793103448275861,8.51063829787234,87.2340425531915,1.74468085106383,0.11109106111536932,0.08836629941907036
6,29,176,60,1,3.4482758620689653,2.127659574468085,89.36170212765958,1.4893617021276597,0.08830691021671203,0.06742159515363504
7,30,206,70,1,3.3333333333333335,2.127659574468085,91.48936170212767,1.3069908814589666,0.06708012238152311,0.05484384106887877
8,29,235,80,1,3.4482758620689653,2.127659574468085,93.61702127659575,1.1702127659574468,0.054529365918669186,0.04176672591512178
9,29,264,90,2,6.896551724137931,4.25531914893617,97.87234042553192,1.0874704491725768,0.04117189585160555,0.03169983603109091
10,30,294,100,1,3.3333333333333335,2.127659574468085,100.0,1.0,0.030087488051943192,0.018628826870513107
